ind, d0, d1, a0, a1, c0, c1
0, 0.11038150347463242, (0.039573500537290626+0.07482444418223806j), (-0.09052739298021509+0.08641099866310292j), (0.009930008170683218-0.019330326540544368j), -0.20911868790936947, 0.2879757646550242
1, 0.01404015888862588, (0.05246378457642653-0.023669600482417685j), (0.2065402863680698-0.0009931158508829242j), (-0.02453305759225686-0.00825355872563655j), -0.014672743907717022, 0.02239391939141075
2, 0.10500280625064064, (0.0007201437415800833+0.030292561797780577j), (0.27280159251001607-0.09817854636911265j), (-0.013272112344192875+0.027282931757349006j), 0.043059849899515716, 0.15716926347258445
3, -0.012026090046116782, (-0.053147364309778906+0.08167784568011545j), (-0.15343269156347875+0.07764427973547247j), (0.004949709292419678-0.003981826091602905j), -0.01706629775816422, -0.09989671211369588
4, 0.06398179920838473, (-0.028910279872947683+0.052754317612124034j), (-0.03399230021721564-0.010950101276190758j), (-0.06528217508200697+0.04137021693388851j), 0.047448583570141, 0.10748238464099018
5, 0.0619654052351512, (-0.045214554738020364+0.008538843096576165j), (0.08834718827038715+0.1276702284085884j), (-0.047802225937729884+0.05291326249411888j), 0.12724871205313748, -0.04730565258996881
6, -0.020605740383999597, (-0.016663591350655198+0.024506056222783703j), (-0.014433875369005112+0.0030358237499828276j), (0.027952613923147105-0.03822983647491545j), -0.13566050053271256, -0.03238173550915003
7, 0.05121752940441618, (-0.0035892476409923133+0.013541861598853757j), (0.1385835128773924-0.015091296651326164j), (0.011966320264204081+0.047958494240474235j), -0.07584921650211048, -0.015681677401449934
8, 0.026800198651140562, (-0.05093687423752358+0.030321772434377954j), (0.24696033016346555+0.08858785524245263j), (-0.10594887582849433+0.013971650669159778j), -0.023263842696919668, -0.24921336645533237
9, -0.06893411689093142, (-0.011546516913656773+0.010065666675526455j), (0.07569637274326044+0.008259560940847104j), (0.026021200014860885+0.0810586279551223j), -0.14996404765813803, -0.20275229856148527
